"";"unidade";"N.pdv.basico";"pago.pdv.basico";"N.pdv.superior";"pago.pdv.superior";"N.pdv.tecnico";"pago.pdv.tecnico";"N.pdv";"pago.pdv";"N.nd.basico";"sal.nd.basico";"N.nd.tecnico";"sal.nd.tecnico";"N.nd.superior";"sal.nd.superior";"N.nd";"sal.nd";"N.clt.basico";"sal.clt.basico";"N.clt.tecnico";"sal.clt.tecnico";"N.clt.superior";"sal.clt.superior";"N.clt";"sal.clt";"N.clt.20.basico";"sal.clt.20.basico";"N.clt.20.tecnico";"sal.clt.20.tecnico";"N.clt.20.superior";"sal.clt.20.superior";"N.clt.20";"sal.clt.20"
"31";"FZEA";0;0;1;389309,52;5;686699,4;6;1076008,92;43;141074,24;71;412374,62;26;288893,09;140;842341,95;43;141074,24;70;403858,83;25;265251,29;138;810184,36;9;42782,71;16;132318,39;8;121263,5;33;296364,6
"32";"HRAC";20;2237297,19;17;6071374,99;8;1424551,78;45;9733223,96;234;847875,82;225;1309564,41;246;2816229,47;705;4973669,7;234;847875,82;225;1309564,41;245;2799051,62;704;4956491,85;93;483678,38;73;623444,11;107;1716047,9;273;2823170,39
"33";"HU";100;12082400,5554398;39;11315484,85;71;11009553,92;210;34407439,3254398;517;2414839,23;644;4207770,97;616;8225624,18;1777;14848234,38;517;2414839,23;644;4207770,97;614;8199345,29;1775;14821955,49;257;1417781,55;210;1744731,17;234;3751797,11;701;6914309,83
"34";"IAG";5;523565,73;2;745051,04;6;848833,14;13;2117449,91;33;114085,58;73;457932,57;37;396427,03;143;968445,18;33;114085,58;72;445789,92;37;396427,03;142;956302,53;10;44558,83;27;216332,37;12;177856,67;49;438747,87
"35";"IAU";0;0;0;0;2;387227,8;2;387227,8;4;10359,7;29;209215,86;4;49204,83;37;268780,39;4;10359,7;28;195617,29;4;49204,83;36;255181,82;0;0;12;104699,8;3;40836,33;15;145536,13
"36";"IB";9;845808,7;0;0;10;1754968,86;19;2600777,56;71;267287,37;113;752332,88;44;460445,1;228;1480065,35;68;251149,97;105;653288,2;43;437394,26;216;1341832,43;18;92397,14;35;285570,59;14;180467,88;67;558435,61
"37";"ICB";18;1939023,12;1;311127,53;16;2756972,76;35;5007123,41;119;484922,05;157;1022226,66;81;930367,04;357;2437515,75;115;461671,9;150;940538,41;78;877891,63;343;2280101,94;44;236525,87;48;402294,28;26;394334,09;118;1033154,24
"38";"ICMC";1;169418,06;2;475228,78;1;188708,5;4;833355,34;15;70620,15;78;430202,69;23;271563,21;116;772386,05;14;64393,28;78;430202,69;21;234312,59;113;728908,56;8;44076,28;14;117941,94;6;95334,67;28;257352,89
"39";"IEA";2;307237,01;2;709114,19;0;0;4;1016351,2;7;34661,82;11;84800,84;16;202734,71;34;322197,37;7;34661,82;11;84800,84;16;202734,71;34;322197,37;4;23923,12;6;58094,08;9;148268,38;19;230285,58
"40";"IEB";1;38155,45;2;714127,03;2;316294,6;5;1068577,08;19;76160,6;28;185480,98;16;209853,68;63;471495,26;18;68165,61;28;185480,98;14;170939,6;60;424586,19;6;31254,06;13;114447,95;6;92454,33;25;238156,34
"41";"IEE";2;161800,29;0;0;6;1080683,74;8;1242484,03;24;94852,05;68;512012,24;68;957612,49;160;1564476,78;24;94852,05;68;512012,24;68;957612,49;160;1564476,78;9;45924,19;33;311148,44;42;681689,59;84;1038762,22
"42";"IF";8;991861,13;7;2276920,93;8;1457117,28;23;4725899,34;82;344381,97;152;1061939,57;95;1124250,9;329;2530572,44;80;335149,15;151;1051982,18;95;1124250,9;326;2511382,23;33;179166,12;84;720166,59;45;650718,92;162;1550051,63
"43";"IFSC";2;199301,99;2;703335,46;5;1105265,5;9;2007902,95;19;70895,78;121;846302,43;52;639551,92;192;1556750,13;19;70895,78;120;831804,13;52;639551,92;191;1542251,83;7;33353,61;51;468111,65;23;371385,05;81;872850,31
"44";"IGc";3;397360,08;1;388381,04;3;481519,13;7;1267260,25;32;129730,88;90;614124,34;35;412013,24;157;1155868,46;30;117620,96;79;507487,56;33;378559,91;142;1003668,43;9;52928,77;32;263489,33;15;226535,63;56;542953,73
"45";"IME";6;553512,92;1;424200,68;8;1376080,58;15;2353794,18;49;170924,63;72;467368,36;27;298269,95;148;936562,94;49;170924,63;69;430758,32;26;281879,95;144;883562,9;10;49114,19;31;248040,96;11;169844,53;52;466999,68
